642075.75  1112100.56,642078.98  1112101.37,642080.36  1112096.13,642092.53  1112099.3,642093.09  1112097.22,642096.61  1112098.14,642096.91  1112096.96,642100.14  1112097.8,642103.41  1112098.65,642106.64  1112099.5,642109.88  1112100.34,642111.25  1112095.06,642112.57  1112089.92,642109.35  1112089.08,642106.08  1112088.22,642102.83  1112087.38,642099.59  1112086.53,642096.11  1112085.62,642097.65  1112079.72,642070.33  1112072.6,642065.25  1112092.18,642070.4  1112093.53,642069.03  1112098.78,642072.25  1112099.62,642072.02  1112100.51,642075.53  1112101.43,642075.75  1112100.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642031.55  1112076.84,642029.22  1112076.23,642028.23  1112080.06,642035.06  1112081.83,642036.05  1112078,642031.55  1112076.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642055.07  1112059.76,642057.39  1112050.94,642059.99  1112051.62,642061.45  1112045.96,642058.89  1112045.25,642064.25  1112024.92,642049.61  1112021.27,642043.61  1112044.23,641996.12  1112031.75,641995.81  1112032.93,641984.27  1112030.05,641983.47  1112032.974,641973.74  1112030.453,641974.27  1112028.46,641971.3  1112027.66,641971.59  1112026.47,641943.19  1112018.76,641944.51  1112014.18,641955.8  1112017.18,641959.998  1112018.269,641963.3  1112017.59,641971.06  1112015.9,641971.72  1112018.83,641980.33  1112016.95,641976.67  1112000,641967.59  1111957.91,641969.62  1111958.42,641989.88  1111883.65,641965.8  1111877.07,641959.58  1111875.39,641955.13  1111891.83,641950.91  1111907.9,641950.01  1111911.32,641956.085  1111912.969,641932.53  1112000,641924.23  1112030.64,641935.05  1112033.52,641935.09  1112033.36,641967.49  1112041.96,641968.65  1112037.6,641971.63  1112038.4,641971.83  1112037.63,641979.35  1112039.64,641981.49  1112040.21,641982.53  1112041.15,641981.59  1112044.92,641992.13  1112047.62,641992.51  1112046.44,642034.2  1112057.35,642039.85  1112058.82,642040.57  1112056.04,642055.07  1112059.76,,,,,,,,,,,,,,,,,
642100.31  1112047.61,642107.03  1112049.38,642107.9  1112045.9,642109.85  1112046.38,642110.8  1112042.58,642108.85  1112042.1,642110.36  1112036.03,642103.67  1112034.24,642102.16  1112040.23,642100.22  1112039.74,642099.25  1112043.59,642101.2  1112044.08,642100.31  1112047.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642011.7  1111970.39,642010.65  1111992.75,642010.37  1111992.75,642009.94  1112000,642009.84  1112001.67,642046.78  1112003.6,642046.77  1112005.37,642052.96  1112005.68,642052.94  1112003.88,642082.93  1112005.46,642083.35  1112005.48,642083.64  1112000,642083.79  1111996.95,642088.03  1111997.17,642088.23  1111994.38,642090.02  1111956.88,642090.46  1111947.72,642090.31  1111947.71,642090.713  1111939.267,642093.63  1111878.07,642087.96  1111877.87,642084.24  1111877.77,642084.8  1111864.1,642084.95  1111860.85,642081.78  1111860.67,642078.01  1111860.45,642078.3  1111858.88,642079.45  1111858.96,642079.86  1111849.49,642083.85  1111849.75,642084.12  1111844.71,642084.95  1111844.75,642085.24  1111839.28,642079.11  1111838.96,642079.58  1111829.84,642078.141  1111829.772,642061.272  1111828.969,642049.73  1111828.42,642016.74  1111826.84,642016.88  1111823.82,642005.44  1111823.26,642005.24  1111826.26,641989.3  1111825.48,641988.59  1111839.42,641975.959  1111838.775,641969.75  1111838.458,641962.14  1111838.07,641961.85  1111843.61,641961.3  1111853.3,641966.873  1111853.598,641992.34  1111854.96,641992.2  1111857.43,642002.25  1111858.03,642002.39  1111855.5,642007.12  1111855.64,642017.14  1111856.21,642016.45  1111874.86,642016.34  1111874.85,642014.98  1111891.06,642014.29  1111891.02,642004.4  1111890.56,642004.08  1111897.5,642004.07  1111897.61,642003.85  1111902.29,641995.2  1111901.88,641992.34  1111962.81,641987.55  1111962.59,641987.24  1111969.25,642011.7  1111970.39
642096.3  1111976.32,642095.58  1111991.36,642105.55  1111991.82,642112.1  1111992.13,642112.74  1111978.98,642105.17  1111978.61,642105.26  1111976.65,642109.29  1111976.85,642109.57  1111970.21,642106.86  1111970.31,642106.82  1111963.16,642104.78  1111963.05,642105.14  1111956.07,642097.56  1111955.43,642096.81  1111969.59,642096.3  1111976.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642110.86  1111961.21,642110.93  1111959.36,642113.75  1111959.45,642113.95  1111952.98,642111.53  1111952.9,642111.6  1111951.06,642108.64  1111950.96,642108.58  1111952.8,642106.19  1111952.72,642105.98  1111959.2,642108.73  1111959.29,642108.67  1111961.14,642110.86  1111961.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642112.81  1111947.16,642105.21  1111946.95,642105.13  1111949.78,642112.75  1111950.04,642112.81  1111947.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641930.99  1111939.51,641928.82  1111947.6,641935.87  1111949.41,641937.98  1111941.33,641930.99  1111939.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642102.94  1111903.23,642101.59  1111932.52,642101.51  1111934.27,642114.58  1111934.87,642116.03  1111903.81,642115.33  1111903.78,642117.21  1111861.57,642122.26  1111861.79,642123.31  1111838.47,642114.759  1111838.098,642115.556  1111819.111,642105.737  1111818.682,642104.9  1111837.67,642103.89  1111861.01,642104.89  1111861.05,642102.94  1111903.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641944.33  1111915.35,641949.88  1111860.73,641940.49  1111859.65,641934.95  1111914.34,641944.33  1111915.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642129.27  1111894.92,642134.52  1111894.98,642134.62  1111885.33,642129.37  1111885.28,642129.27  1111894.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641958.26  1111815.3,641959.33  1111804.11,641946.11  1111802.85,641940.71  1111857.68,641954.07  1111859.21,641958.26  1111815.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642151.02  1111836.59,642149.43  1111837.91,642151.81  1111840.79,642148.51  1111843.45,642151.01  1111846.43,642155.18  1111851.77,642160.33  1111847.7,642156.55  1111843.22,642151.02  1111836.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642154.49  1111819.37,642140.86  1111817.68,642139.2  1111830.52,642152.96  1111832.1,642154.49  1111819.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641964.12  1111802.16,641969.58  1111802.39,641969.01  1111814.58,642065.84  1111819.05,642065.83  1111819.35,642074.25  1111819.75,642074.91  1111804.79,642077.61  1111804.95,642077.73  1111802.76,642075.03  1111802.62,642075.42  1111794.46,642066.98  1111794.06,642066.97  1111794.36,641970.15  1111789.88,641969.74  1111799.15,641964.3  1111798.93,641963.71  1111798.91,641963.54  1111802.14,641964.12  1111802.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642295.969929729  1112084.04076787,642290.24  1112084.88,642296.03  1112126.99,642300.840627357  1112126.3512445,642295.969929729  1112084.04076787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642255.2  1112045.25,642263.83  1112046.65,642265.12  1112039.29,642244.95  1112036,642243.74  1112043.4,642252.77  1112044.86,642255.2  1112045.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642234.12  1112003.42,642233.52  1112008.97,642238.74  1112009.53,642240.51  1112009.65,642241.1  1112004.22,642239.36  1112003.97,642234.12  1112003.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642263.76  1111986.27,642257.58  1111986.97,642258.07  1111990.63,642264.25  1111989.97,642263.76  1111986.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642235.78  1111875.38,642244.49  1111859.24,642245.92  1111856.58,642245.71  1111853.84,642245.35  1111849.28,642242.46  1111849.41,642233.09  1111849.71,642229.72  1111855.92,642236.04  1111859.35,642232.88  1111865.18,642226.57  1111861.76,642222.97  1111868.23,642235.78  1111875.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642222.05  1111826.01,642215.17  1111832.62,642198.76  1111848.4,642211.97  1111861.8,642212.53  1111861.39,642219.58  1111854.47,642214.02  1111848.73,642221.64  1111841.22,642219.45  1111839.01,642222.52  1111836.12,642224.07  1111834.64,642227.27  1111831.51,642226.38  1111830.59,642222.05  1111826.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
